iter	Passed	Remaining
0	2630	2628302
1	2632	1313831
2	2634	875646
3	2637	656846
4	2639	525327
5	2642	437732
6	2648	375771
7	2651	328791
8	2654	292235
9	2657	263066
10	2661	239283
11	2663	219280
12	2665	202357
13	2671	188138
14	2674	175599
15	2676	164577
16	2678	154858
17	2680	146212
18	2682	138497
19	2684	131528
20	2686	125249
21	2693	119720
22	2695	114480
23	2697	109679
24	2698	105260
25	2700	101176
26	2703	97421
27	2705	93913
28	2707	90652
29	2709	87611
30	2715	84894
31	2718	82231
32	2721	79754
33	2723	77388
34	2725	75151
35	2727	73040
36	2729	71052
37	2731	69159
38	2735	67400
39	2738	65723
40	2742	64140
41	2744	62604
42	2748	61173
43	2750	59767
44	2752	58417
45	2754	57135
46	2758	55931
47	2760	54748
48	2762	53612
49	2764	52522
50	2766	51473
51	2768	50465
52	2771	49515
53	2773	48589
54	2781	47784
55	2784	46934
56	2789	46145
57	2794	45381
58	2797	44616
59	2800	43877
60	2805	43183
61	2809	42501
62	2811	41819
63	2824	41308
64	2832	40743
65	2837	40150
66	2840	39550
67	2851	39079
68	2853	38506
69	2858	37978
70	2875	37625
71	2881	37144
72	2884	36628
73	2886	36126
74	2894	35698
75	2902	35283
76	2904	34821
77	2907	34369
78	2912	33955
79	2919	33578
80	2924	33176
81	2926	32763
82	2927	32345
83	2930	31955
84	2932	31571
85	2941	31264
86	2948	30939
87	2951	30585
88	2957	30269
89	2965	29988
90	2972	29693
91	2977	29381
92	2980	29066
93	2983	28753
94	2990	28485
95	2992	28175
96	2994	27871
97	2996	27575
98	2997	27283
99	3000	27007
100	3002	26727
101	3005	26456
102	3011	26225
103	3013	25965
104	3016	25710
105	3019	25462
106	3022	25229
107	3025	24986
108	3027	24749
109	3029	24514
110	3036	24315
111	3038	24087
112	3040	23862
113	3042	23644
114	3044	23427
115	3046	23217
116	3048	23003
117	3050	22798
118	3052	22595
119	3059	22433
120	3061	22238
121	3062	22042
122	3064	21851
123	3066	21663
124	3068	21480
125	3071	21302
126	3072	21120
127	3074	20944
128	3080	20797
129	3082	20626
130	3084	20463
131	3086	20298
132	3088	20135
133	3090	19974
134	3093	19821
135	3095	19665
136	3097	19515
137	3104	19393
138	3107	19250
139	3110	19105
140	3112	18963
141	3114	18816
142	3116	18678
143	3118	18538
144	3120	18400
145	3127	18292
146	3129	18161
147	3132	18034
148	3135	17910
149	3138	17784
150	3141	17665
151	3144	17542
152	3147	17424
153	3149	17303
154	3152	17185
155	3154	17069
156	3157	16953
157	3159	16838
158	3162	16726
159	3169	16642
160	3171	16525
161	3173	16414
162	3175	16304
163	3177	16195
164	3178	16087
165	3181	15983
166	3183	15878
167	3185	15774
168	3190	15689
169	3193	15589
170	3194	15488
171	3197	15391
172	3199	15295
173	3201	15198
174	3203	15104
175	3206	15010
176	3208	14916
177	3214	14842
178	3216	14752
179	3220	14668
180	3222	14581
181	3226	14500
182	3228	14415
183	3230	14327
184	3234	14250
185	3237	14170
186	3240	14088
187	3242	14005
188	3245	13924
189	3246	13842
190	3249	13763
191	3251	13682
192	3253	13602
193	3254	13523
194	3260	13459
195	3262	13383
196	3265	13311
197	3267	13235
198	3269	13162
199	3272	13090
200	3274	13017
201	3276	12944
202	3283	12891
203	3285	12819
204	3287	12748
205	3291	12685
206	3293	12617
207	3296	12550
208	3298	12483
209	3300	12415
210	3303	12354
211	3307	12293
212	3310	12231
213	3313	12169
214	3316	12107
215	3318	12045
216	3320	11981
217	3322	11917
218	3324	11854
219	3326	11794
220	3328	11734
221	3331	11673
222	3333	11613
223	3334	11553
224	3336	11493
225	3339	11435
226	3341	11378
227	3343	11321
228	3349	11275
229	3350	11218
230	3352	11161
231	3355	11107
232	3357	11051
233	3359	10996
234	3361	10941
235	3363	10887
236	3364	10832
237	3370	10792
238	3372	10739
239	3374	10687
240	3376	10634
241	3379	10584
242	3381	10533
243	3383	10482
244	3385	10431
245	3387	10381
246	3395	10352
247	3398	10304
248	3400	10256
249	3403	10211
250	3407	10167
251	3409	10119
252	3411	10071
253	3417	10038
254	3420	9992
255	3422	9945
256	3424	9899
257	3426	9853
258	3427	9807
259	3430	9762
260	3432	9717
261	3433	9672
262	3439	9639
263	3442	9595
264	3444	9552
265	3446	9510
266	3448	9466
267	3450	9425
268	3453	9384
269	3455	9341
270	3457	9300
271	3464	9271
272	3466	9230
273	3468	9189
274	3469	9148
275	3471	9107
276	3474	9067
277	3476	9028
278	3478	8989
279	3485	8962
280	3487	8924
281	3490	8886
282	3492	8849
283	3495	8811
284	3497	8775
285	3500	8738
286	3502	8700
287	3507	8670
288	3509	8634
289	3511	8597
290	3514	8561
291	3515	8524
292	3517	8488
293	3520	8452
294	3522	8418
295	3524	8382
296	3530	8357
297	3532	8321
298	3534	8286
299	3537	8254
300	3540	8220
301	3542	8187
302	3544	8153
303	3546	8119
304	3548	8086
305	3554	8062
306	3556	8028
307	3559	7998
308	3561	7965
309	3564	7933
310	3567	7902
311	3568	7869
312	3570	7837
313	3576	7813
314	3579	7783
315	3581	7753
316	3584	7722
317	3586	7692
318	3589	7662
319	3591	7632
320	3593	7601
321	3599	7579
322	3601	7549
323	3603	7519
324	3605	7489
325	3607	7459
326	3609	7429
327	3611	7399
328	3614	7370
329	3616	7341
330	3621	7320
331	3623	7291
332	3625	7261
333	3628	7235
334	3630	7206
335	3632	7178
336	3634	7150
337	3636	7122
338	3639	7095
339	3646	7077
340	3648	7051
341	3651	7025
342	3653	6997
343	3655	6971
344	3658	6945
345	3660	6919
346	3662	6892
347	3669	6875
348	3673	6851
349	3676	6827
350	3680	6804
351	3681	6778
352	3683	6751
353	3685	6725
354	3691	6707
355	3693	6682
356	3696	6657
357	3698	6632
358	3700	6607
359	3702	6582
360	3704	6558
361	3707	6535
362	3713	6516
363	3715	6492
364	3717	6468
365	3719	6443
366	3721	6419
367	3723	6395
368	3725	6370
369	3727	6347
370	3730	6323
371	3732	6300
372	3738	6284
373	3740	6260
374	3742	6237
375	3744	6213
376	3746	6190
377	3748	6167
378	3750	6145
379	3752	6123
380	3759	6108
381	3762	6086
382	3765	6065
383	3768	6045
384	3771	6024
385	3773	6002
386	3775	5980
387	3777	5958
388	3784	5944
389	3786	5922
390	3788	5900
391	3790	5878
392	3791	5856
393	3793	5835
394	3796	5814
395	3797	5792
396	3799	5771
397	3804	5755
398	3808	5735
399	3810	5715
400	3812	5694
401	3814	5674
402	3816	5653
403	3818	5633
404	3821	5613
405	3823	5593
406	3828	5577
407	3830	5557
408	3832	5537
409	3835	5519
410	3837	5499
411	3839	5480
412	3841	5460
413	3843	5440
414	3845	5420
415	3852	5407
416	3854	5388
417	3856	5368
418	3859	5351
419	3861	5332
420	3863	5313
421	3866	5295
422	3868	5276
423	3872	5260
424	3876	5244
425	3878	5226
426	3881	5209
427	3884	5190
428	3887	5173
429	3890	5156
430	3897	5145
431	3902	5131
432	3905	5113
433	3909	5098
434	3912	5081
435	3914	5063
436	3923	5054
437	3925	5037
438	3928	5020
439	3931	5003
440	3933	4986
441	3936	4969
442	3944	4959
443	3952	4949
444	3957	4935
445	3959	4918
446	3962	4902
447	3965	4886
448	3974	4877
449	3977	4861
450	3980	4845
451	3982	4828
452	3985	4812
453	3987	4795
454	3989	4779
455	3999	4771
456	4002	4756
457	4011	4747
458	4019	4737
459	4031	4732
460	4042	4726
461	4047	4712
462	4049	4696
463	4052	4681
464	4069	4681
465	4072	4666
466	4074	4650
467	4076	4634
468	4078	4617
469	4080	4601
470	4082	4585
471	4084	4568
472	4091	4558
473	4093	4542
474	4095	4526
475	4098	4511
476	4100	4495
477	4102	4480
478	4105	4465
479	4107	4449
480	4114	4439
481	4116	4424
482	4118	4408
483	4120	4393
484	4122	4377
485	4125	4363
486	4127	4347
487	4129	4332
488	4134	4320
489	4136	4305
490	4138	4290
491	4141	4275
492	4143	4260
493	4144	4245
494	4147	4231
495	4149	4216
496	4151	4201
497	4158	4192
498	4161	4177
499	4164	4164
500	4166	4150
501	4169	4135
502	4172	4122
503	4174	4108
504	4179	4096
505	4182	4082
506	4184	4069
507	4186	4054
508	4188	4040
509	4190	4026
510	4192	4012
511	4194	3998
512	4196	3984
513	4203	3974
514	4205	3960
515	4208	3947
516	4210	3933
517	4212	3919
518	4214	3906
519	4216	3892
520	4219	3878
521	4221	3865
522	4227	3856
523	4229	3842
524	4232	3829
525	4234	3816
526	4236	3802
527	4239	3789
528	4241	3776
529	4243	3762
530	4249	3753
531	4251	3740
532	4254	3727
533	4257	3715
534	4259	3702
535	4261	3689
536	4263	3676
537	4266	3663
538	4272	3654
539	4274	3641
540	4277	3629
541	4280	3616
542	4281	3603
543	4284	3591
544	4286	3578
545	4287	3565
546	4289	3552
547	4294	3542
548	4296	3529
549	4299	3517
550	4301	3505
551	4303	3492
552	4305	3480
553	4307	3467
554	4309	3455
555	4311	3443
556	4316	3433
557	4319	3421
558	4321	3409
559	4324	3397
560	4326	3385
561	4328	3373
562	4329	3360
563	4332	3348
564	4333	3336
565	4335	3324
566	4341	3315
567	4344	3303
568	4347	3293
569	4351	3282
570	4353	3270
571	4355	3258
572	4357	3246
573	4359	3235
574	4364	3225
575	4366	3213
576	4369	3203
577	4371	3191
578	4373	3180
579	4375	3168
580	4377	3157
581	4380	3145
582	4382	3134
583	4386	3124
584	4389	3113
585	4391	3102
586	4394	3091
587	4396	3080
588	4398	3069
589	4400	3058
590	4402	3046
591	4404	3035
592	4409	3026
593	4411	3015
594	4413	3004
595	4416	2993
596	4418	2982
597	4420	2971
598	4423	2961
599	4425	2950
600	4427	2939
601	4432	2930
602	4435	2920
603	4439	2910
604	4441	2899
605	4443	2889
606	4446	2878
607	4447	2867
608	4449	2856
609	4454	2848
610	4456	2837
611	4459	2827
612	4460	2816
613	4462	2805
614	4464	2795
615	4467	2784
616	4469	2774
617	4471	2763
618	4473	2753
619	4476	2743
620	4478	2733
621	4481	2723
622	4483	2713
623	4485	2702
624	4488	2693
625	4490	2683
626	4493	2672
627	4498	2664
628	4500	2654
629	4503	2644
630	4506	2635
631	4507	2624
632	4510	2615
633	4513	2605
634	4515	2595
635	4521	2587
636	4523	2577
637	4530	2570
638	4532	2560
639	4534	2550
640	4536	2540
641	4538	2530
642	4542	2522
643	4545	2512
644	4547	2502
645	4549	2493
646	4551	2483
647	4553	2473
648	4556	2464
649	4558	2454
650	4560	2444
651	4561	2434
652	4568	2427
653	4570	2418
654	4572	2408
655	4574	2399
656	4576	2389
657	4578	2379
658	4580	2370
659	4583	2361
660	4585	2351
661	4588	2342
662	4591	2333
663	4593	2324
664	4595	2314
665	4597	2305
666	4599	2296
667	4601	2286
668	4603	2277
669	4605	2268
670	4611	2260
671	4614	2252
672	4616	2242
673	4617	2233
674	4619	2224
675	4621	2215
676	4623	2205
677	4625	2196
678	4627	2187
679	4633	2180
680	4635	2171
681	4639	2163
682	4642	2154
683	4644	2145
684	4646	2136
685	4648	2127
686	4650	2118
687	4657	2111
688	4658	2102
689	4660	2093
690	4663	2085
691	4665	2076
692	4667	2067
693	4669	2059
694	4671	2050
695	4673	2041
696	4679	2034
697	4681	2025
698	4682	2016
699	4686	2008
700	4688	1999
701	4690	1991
702	4692	1982
703	4694	1973
704	4696	1965
705	4701	1957
706	4703	1949
707	4704	1940
708	4707	1932
709	4709	1923
710	4711	1915
711	4713	1906
712	4715	1898
713	4717	1889
714	4719	1881
715	4725	1874
716	4728	1866
717	4730	1857
718	4733	1849
719	4735	1841
720	4737	1833
721	4740	1825
722	4746	1818
723	4750	1810
724	4752	1802
725	4757	1795
726	4760	1787
727	4762	1779
728	4764	1771
729	4769	1764
730	4771	1755
731	4773	1747
732	4776	1739
733	4778	1731
734	4780	1723
735	4782	1715
736	4784	1707
737	4787	1699
738	4792	1692
739	4795	1684
740	4797	1676
741	4799	1668
742	4801	1660
743	4803	1652
744	4805	1644
745	4807	1636
746	4809	1628
747	4815	1622
748	4817	1614
749	4820	1606
750	4822	1599
751	4826	1591
752	4828	1583
753	4830	1575
754	4832	1568
755	4833	1560
756	4839	1553
757	4842	1545
758	4843	1538
759	4846	1530
760	4848	1522
761	4850	1515
762	4852	1507
763	4854	1499
764	4856	1491
765	4861	1485
766	4864	1477
767	4866	1470
768	4868	1462
769	4870	1454
770	4872	1447
771	4874	1439
772	4876	1432
773	4878	1424
774	4884	1417
775	4886	1410
776	4888	1403
777	4893	1396
778	4895	1388
779	4897	1381
780	4899	1373
781	4902	1366
782	4905	1359
783	4908	1352
784	4910	1345
785	4914	1337
786	4917	1330
787	4919	1323
788	4921	1316
789	4923	1308
790	4930	1302
791	4932	1295
792	4935	1288
793	4936	1280
794	4938	1273
795	4940	1266
796	4943	1259
797	4945	1251
798	4947	1244
799	4953	1238
800	4955	1231
801	4957	1223
802	4959	1216
803	4961	1209
804	4963	1202
805	4965	1195
806	4967	1188
807	4969	1180
808	4971	1173
809	4974	1166
810	4975	1159
811	4978	1152
812	4980	1145
813	4982	1138
814	4985	1131
815	4987	1124
816	4989	1117
817	4991	1110
818	4993	1103
819	4997	1096
820	5000	1090
821	5003	1083
822	5005	1076
823	5008	1069
824	5010	1062
825	5017	1057
826	5021	1050
827	5026	1044
828	5031	1037
829	5038	1031
830	5041	1025
831	5043	1018
832	5047	1011
833	5049	1005
834	5052	998
835	5055	991
836	5063	986
837	5065	979
838	5072	973
839	5077	967
840	5080	960
841	5086	954
842	5088	947
843	5127	947
844	5137	942
845	5142	936
846	5145	929
847	5149	923
848	5152	916
849	5159	910
850	5163	903
851	5167	897
852	5170	891
853	5173	884
854	5177	878
855	5185	872
856	5190	866
857	5193	859
858	5197	853
859	5200	846
860	5207	840
861	5210	834
862	5213	827
863	5215	820
864	5218	814
865	5221	807
866	5223	801
867	5229	795
868	5235	789
869	5237	782
870	5239	776
871	5242	769
872	5244	762
873	5247	756
874	5253	750
875	5255	743
876	5257	737
877	5259	730
878	5261	724
879	5263	717
880	5266	711
881	5268	704
882	5270	698
883	5277	692
884	5279	685
885	5281	679
886	5284	673
887	5286	666
888	5288	660
889	5290	653
890	5292	647
891	5298	641
892	5301	635
893	5303	628
894	5305	622
895	5308	616
896	5310	609
897	5312	603
898	5315	597
899	5320	591
900	5322	584
901	5325	578
902	5326	572
903	5328	565
904	5330	559
905	5333	553
906	5336	547
907	5338	540
908	5343	534
909	5345	528
910	5347	522
911	5350	516
912	5352	510
913	5354	503
914	5356	497
915	5359	491
916	5361	485
917	5367	479
918	5369	473
919	5372	467
920	5374	460
921	5376	454
922	5378	448
923	5379	442
924	5382	436
925	5384	430
926	5390	424
927	5393	418
928	5396	412
929	5398	406
930	5402	400
931	5405	394
932	5407	388
933	5411	382
934	5414	376
935	5416	370
936	5419	364
937	5421	358
938	5423	352
939	5425	346
940	5427	340
941	5430	334
942	5435	328
943	5437	322
944	5439	316
945	5441	310
946	5444	304
947	5446	298
948	5449	292
949	5451	286
950	5453	280
951	5457	275
